dv,moderator,chr_feature,beta_interaction,p_value,ci_low,ci_high,n_obs,fit_error
preventable_hospital_stays_raw_value,MO11,adult_smoking_ci_high,-78.28101321267309,3.615089697433982e-08,-106.13298885073631,-50.429037574609865,3065,0
preventable_hospital_stays_raw_value,MO12,adult_smoking_ci_high,-71.19954865063598,4.644450403443384e-08,-96.7372577511978,-45.66183955007414,3065,0
preventable_hospital_stays_raw_value,MO11,poor_physical_health_days_ci_high,-4.3229182315173285,4.7615624408665544e-08,-5.87470881305248,-2.7711276499821773,3065,0
preventable_hospital_stays_raw_value,MO15,poor_physical_health_days_ci_high,-4.821511999198913,7.70452537414448e-08,-6.5800046698362245,-3.0630193285616016,3065,0
preventable_hospital_stays_raw_value,MO11,frequent_mental_distress_ci_high,-141.7284176330956,9.517936817954909e-08,-193.78960238841745,-89.66723287777376,3065,0
preventable_hospital_stays_raw_value,MO11,frequent_mental_distress_raw_value,-153.16817924326978,1.7930203721531993e-07,-210.68286297069207,-95.65349551584748,3065,0
preventable_hospital_stays_raw_value,MO11,adult_smoking_raw_value,-82.25117972190341,2.3914180536127987e-07,-113.45694516552734,-51.04541427827948,3065,0
preventable_hospital_stays_raw_value,MO12,adult_smoking_raw_value,-74.60425077571037,2.799524063171645e-07,-103.07161215231393,-46.136889399106806,3065,0
preventable_hospital_stays_raw_value,MO11,poor_physical_health_days_raw_value,-4.730674812814692,4.837881241077502e-07,-6.573040787834254,-2.8883088377951296,3065,0
preventable_hospital_stays_raw_value,MO11,median_household_income_ci_low,0.00018814316153117775,4.88681401175246e-07,0.00011484252604699433,0.00026144379701536114,3065,0
preventable_hospital_stays_raw_value,MO12,poor_physical_health_days_ci_high,-3.7603672096819913,5.905024361237489e-07,-5.236087061221822,-2.2846473581421614,3065,0
preventable_hospital_stays_raw_value,MO11,frequent_mental_distress_ci_low,-164.06564291271883,6.448720080692194e-07,-228.67188779008382,-99.45939803535386,3065,0
