feature,stability_freq,mean_sign,rf_importance_mean,stable_core_flag
access_to_exercise_opportunities_raw_value,1.0,1.0,0.0039835394364416375,1
premature_death_ci_high,1.0,-1.0,0.003861939120881183,1
irr_county_value,1.0,-1.0,0.0038381766942603484,1
ratio_of_population_to_primary_care_physicians,1.0,-1.0,0.002996424737365209,1
premature_age_adjusted_mortality_ci_high,1.0,-1.0,0.0026425241649845237,1
premature_death_ci_high_white,1.0,-1.0,0.002602686480260356,1
poor_mental_health_days_raw_value,1.0,1.0,0.0025832302850808423,1
driving_alone_to_work_ci_low_white,1.0,1.0,0.0025507640858572138,1
some_college_ci_high,1.0,-1.0,0.0020264265823338916,1
motor_vehicle_crash_deaths_ci_high_white,0.9933333333333333,-0.9933333333333333,0.012992612835392816,1
poor_mental_health_days_ci_high,0.9933333333333333,0.9933333333333333,0.0028109700691542378,1
income_inequality_ci_high,0.9933333333333333,-0.9933333333333333,0.0026349565425601183,1
low_birthweight_ci_low_white,0.9933333333333333,0.9933333333333333,0.0022793421377485922,1
injury_deaths_ci_low_white,0.9933333333333333,0.9933333333333333,0.0018148701965232206,1
motor_vehicle_crash_deaths_white,0.9866666666666667,-0.9866666666666667,0.006071790656222495,1
american_indian_or_alaska_native_raw_value,0.9866666666666667,-0.9866666666666667,0.0026485405341627024,1
div_9,0.9866666666666667,-0.9866666666666667,0.0001414379475157876,1
social_associations_numerator,0.98,0.98,0.00791370908895467,1
gender_pay_gap_raw_value,0.98,-0.98,0.002388349269822858,1
premature_death_flag_0_no_flag_1_unreliable_2_suppressed,0.98,-0.98,5.342187853016734e-06,1
ratio_of_population_to_primary_care_providers_other_than_physic,0.9733333333333334,-0.9733333333333334,0.002576306213388817,1
child_mortality_ci_high,0.9666666666666667,-0.9666666666666667,0.0018346795565452113,1
some_college_raw_value,0.96,-0.96,0.0018208249413638041,1
low_birthweight_numerator,0.9533333333333334,0.9533333333333334,0.0022062676427089044,1
premature_age_adjusted_mortality_raw_value,0.9533333333333334,-0.9533333333333334,0.002114631873764574,1
preventable_hospital_stays_white,0.9466666666666667,-0.9466666666666667,0.0034129482569415556,1
premature_age_adjusted_mortality_ci_high_white,0.9466666666666667,-0.9466666666666667,0.002278875742797275,1
low_birthweight_denominator,0.94,0.94,0.004250794759999238,1
