dv,moderator,chr_feature,beta_interaction,p_value,ci_low,ci_high,n_obs,fit_error
premature_death_raw_value,MO21,motor_vehicle_crash_deaths_ci_high_white,0.9972770764032082,3.707754198347305e-17,0.7651854228768219,1.2293687299295946,2500,0
premature_death_raw_value,MO21,premature_death_ci_high_white,0.003621493449890766,1.4122461236025818e-16,0.002762556623438282,0.00448043027634325,3035,0
premature_death_raw_value,MO15,premature_death_ci_high_white,0.003202244361596669,1.0011117113723019e-14,0.0023912622806361895,0.004013226442557149,3035,0
premature_death_raw_value,MO21,motor_vehicle_crash_deaths_white,1.025159024621373,3.324205487102628e-14,0.7602588407366271,1.290059208506119,2499,0
premature_death_raw_value,MO14,premature_death_ci_high_white,0.0033681859188964824,1.4556149534343139e-12,0.002435590080620108,0.0043007817571728574,3035,0
premature_death_raw_value,MO21,premature_death_ci_high,0.0019459068901697466,8.672840274290646e-12,0.0013872536541235246,0.0025045601262159685,3080,0
premature_death_raw_value,MO21,children_in_poverty_white,140.35445895913205,1.4252792371284827e-10,97.45993960834622,183.24897830991787,3026,0
premature_death_raw_value,MO21,premature_age_adjusted_mortality_ci_high_white,0.040451866013989035,7.132792214252731e-10,0.027587558306554266,0.053316173721423804,3035,0
premature_death_raw_value,MO13,premature_death_ci_high_white,0.0036034387565364798,1.3922366250725724e-09,0.0024372938658638165,0.004769583647209143,3035,0
premature_death_raw_value,MO13,premature_death_ci_high,0.0022309800938326192,2.2821909906364837e-09,0.001499320376659919,0.0029626398110053197,3080,0
premature_death_raw_value,MO11,premature_death_ci_high,0.0019143800619101337,2.3769536232831524e-09,0.0012858529687597557,0.002542907155060512,3080,0
premature_death_raw_value,MO21,low_birthweight_ci_high,367.30718472939884,5.020304513193986e-09,244.17212370934135,490.44224574945633,3030,0
premature_death_raw_value,MO14,premature_death_ci_high,0.0021130659196753176,5.030545177429495e-09,0.001404646357261158,0.002821485482089477,3080,0
premature_death_raw_value,MO21,motor_vehicle_crash_deaths_ci_high,0.9710986837559133,1.0699268494601287e-08,0.6383073076037805,1.303890059908046,2680,0
premature_death_raw_value,MO21,injury_deaths_ci_high_white,0.2662583940423591,1.1283434246943415e-08,0.17486831967216726,0.357648468412551,2957,0
premature_death_raw_value,MO21,children_in_poverty_ci_high_white,111.8421576696372,1.2039153352143534e-08,73.37926418074551,150.3050511585289,3024,0
premature_death_raw_value,MO15,premature_death_ci_high,0.0020257894928605606,1.2438814921875336e-08,0.0013284320572276285,0.0027231469284934927,3080,0
