feature,stability_freq,mean_sign,rf_importance_mean,stable_core_flag
rural_raw_value,1.0,-1.0,0.004834858697356328,1
gender_pay_gap_raw_value,1.0,-1.0,0.004137819566498126,1
limited_access_to_healthy_foods_raw_value,1.0,-1.0,0.0028602422394426105,1
food_environment_index_numerator,1.0,-1.0,0.0028563356739088924,1
low_birthweight_ci_low_white,1.0,1.0,0.002729674850630782,1
driving_alone_to_work_ci_low_white,1.0,1.0,0.0026801585713080232,1
irr_county_value,1.0,-1.0,0.0016799922354043184,1
american_indian_or_alaska_native_raw_value,0.9933333333333333,-0.9933333333333333,0.0027262432520274277,1
some_college_ci_high,0.9933333333333333,-0.9933333333333333,0.0022186596931934905,1
injury_deaths_ci_low_white,0.9933333333333333,0.9933333333333333,0.0019456891089756556,1
premature_death_ci_high,0.9933333333333333,-0.9933333333333333,0.001817362281590068,1
premature_death_ci_high_white,0.9933333333333333,-0.9933333333333333,0.0015606823562021128,1
lbw_unreliable_indicator_unreliable_numerator_20_or_relative_st,0.9933333333333333,-0.9933333333333333,8.759341363377515e-07,1
access_to_exercise_opportunities_raw_value,0.9866666666666667,0.9866666666666667,0.0033251264864427353,1
alcohol_impaired_driving_deaths_ci_low,0.9866666666666667,0.9866666666666667,0.0027312143016894616,1
poor_mental_health_days_ci_high,0.9866666666666667,0.9866666666666667,0.002394766868146188,1
poor_mental_health_days_raw_value,0.9866666666666667,0.9866666666666667,0.0022763150297283215,1
div_5,0.9866666666666667,-0.9866666666666667,0.0009909249001422659,1
primary_care_physicians_raw_value,0.98,0.98,0.0032020807952753763,1
flu_vaccinations_white,0.9733333333333334,-0.9733333333333334,0.003280019457624894,1
div_9,0.9733333333333334,-0.9733333333333334,0.00014451537795404256,1
premature_death_flag_0_no_flag_1_unreliable_2_suppressed,0.9733333333333334,-0.9733333333333334,2.706130424196245e-06,1
gender_pay_gap_ci_high,0.9666666666666667,-0.9666666666666667,0.004109792561151071,1
income_inequality_ci_high,0.96,-0.96,0.0028143135669636125,1
alcohol_impaired_driving_deaths_ci_high,0.9533333333333334,-0.9533333333333334,0.003358262089976455,1
div_8,0.9533333333333334,0.94,0.00046402316752939404,1
suicides_ci_low_white,0.9466666666666667,0.9466666666666667,0.0018159025487728257,1
number_of_juvenile_delinquency_cases_formally_processed_by_a_ju,0.94,0.94,0.0020668776267502554,1
adult_obesity_ci_low,0.9333333333333333,-0.9333333333333333,0.002658998559667791,1
other_primary_care_providers_raw_value,0.9333333333333333,0.9333333333333333,0.002206037483029547,1
ratio_of_population_to_primary_care_providers_other_than_physic,0.9266666666666666,-0.9266666666666666,0.002181776265300573,1
children_eligible_for_free_or_reduced_price_lunch_raw_value,0.92,-0.9066666666666666,0.0032287383754552486,1
median_household_income_ci_low_hispanic,0.92,-0.92,0.0027206405193067737,1
suicides_ci_high_white,0.92,-0.92,0.0018520721370808284,1
premature_death_flag_black_no_flag_1_unreliable_2_suppressed,0.9133333333333333,0.9133333333333333,0.000287156274312803,1
juvenile_arrests_raw_value,0.9,0.7933333333333333,0.004044294555090979,1
premature_death_flag_hispanic_no_flag_1_unreliable_2_suppressed,0.8933333333333333,-0.8533333333333334,0.00015625962682235157,1
teen_births_ci_high_white,0.8866666666666667,-0.8866666666666667,0.0018775942856476102,1
motor_vehicle_crash_deaths_ci_high_white,0.88,-0.88,0.0027367243005149405,1
ratio_of_population_to_primary_care_physicians,0.8733333333333333,-0.8733333333333333,0.0029639420821410537,1
rural_numerator,0.8733333333333333,0.82,0.002439510050993863,1
driving_alone_to_work_ci_high,0.8533333333333334,-0.8533333333333334,0.0020806696979917064,1
excessive_drinking_ci_low,0.8466666666666667,-0.82,0.0036168432726272712,1
