feature,stability_freq,mean_sign,rf_importance_mean,stable_core_flag
access_to_exercise_opportunities_raw_value,1.0,1.0,0.00543271596799913,1
alcohol_impaired_driving_deaths_ci_high,1.0,-1.0,0.003680877460979474,1
low_birthweight_ci_low_white,1.0,1.0,0.003507658000101346,1
food_environment_index_numerator,1.0,-1.0,0.0033215525522555206,1
limited_access_to_healthy_foods_raw_value,1.0,-1.0,0.0033196715484179627,1
driving_alone_to_work_ci_low_white,1.0,1.0,0.0026914743361198456,1
gender_pay_gap_raw_value,0.9933333333333333,-0.9933333333333333,0.0028486555969700128,1
irr_county_value,0.9933333333333333,-0.9933333333333333,0.002444626653172076,1
premature_death_ci_high,0.9933333333333333,-0.9933333333333333,0.001970312768183659,1
div_5,0.9933333333333333,-0.9933333333333333,0.00041884241263463517,1
flu_vaccinations_white,0.9866666666666667,-0.9733333333333334,0.0031099811619893255,1
other_primary_care_providers_raw_value,0.9866666666666667,0.9866666666666667,0.0028872087744872244,1
gender_pay_gap_ci_high,0.9866666666666667,-0.9866666666666667,0.0026536387240257103,1
premature_death_ci_high_white,0.98,-0.98,0.002103795685056647,1
premature_death_flag_black_no_flag_1_unreliable_2_suppressed,0.98,0.98,0.00034033700394632847,1
lbw_unreliable_indicator_unreliable_numerator_20_or_relative_st,0.9733333333333334,-0.9733333333333334,3.157635336296466e-06,1
primary_care_physicians_raw_value,0.96,0.96,0.003929124119422376,1
adult_obesity_ci_low,0.96,-0.96,0.0026825291460489797,1
some_college_ci_high,0.96,-0.96,0.002201622774172298,1
premature_death_flag_hispanic_no_flag_1_unreliable_2_suppressed,0.9533333333333334,-0.94,0.00018943504170617845,1
primary_care_physicians_numerator,0.9466666666666667,0.9466666666666667,0.013663966894338034,1
income_inequality_ci_high,0.9466666666666667,-0.9466666666666667,0.002991687678433089,1
poor_mental_health_days_raw_value,0.9466666666666667,0.9466666666666667,0.0026084114591945528,1
_65_and_older_raw_value,0.94,-0.94,0.002747138634350003,1
suicides_ci_high_white,0.94,-0.94,0.0020459099189751016,1
rural_raw_value,0.9333333333333333,-0.9333333333333333,0.004903088095185693,1
suicides_ci_low_white,0.9333333333333333,0.9333333333333333,0.002082340756183429,1
frequent_mental_distress_ci_high,0.9333333333333333,0.9333333333333333,0.0019022870798170108,1
adult_obesity_raw_value,0.9266666666666666,-0.9266666666666666,0.0025224279415013797,1
premature_age_adjusted_mortality_ci_high,0.92,-0.92,0.0014942339738949434,1
children_eligible_for_free_or_reduced_price_lunch_raw_value,0.9133333333333333,-0.9,0.0027911723079089455,1
injury_deaths_ci_high_white,0.9133333333333333,-0.9133333333333333,0.0024579972906626736,1
frequent_mental_distress_raw_value,0.9,0.9,0.0017785496043062757,1
juvenile_arrests_raw_value,0.8933333333333333,0.8266666666666667,0.004605853381838062,1
poor_mental_health_days_ci_high,0.8933333333333333,0.8933333333333333,0.00303304035133996,1
preventable_hospital_stays_white,0.8866666666666667,-0.8733333333333333,0.0036860151356931186,1
number_of_juvenile_delinquency_cases_formally_processed_by_a_ju,0.8866666666666667,0.8733333333333333,0.0022551174727731215,1
ratio_of_population_to_primary_care_physicians,0.88,-0.88,0.003660916840399086,1
driving_alone_to_work_ci_high,0.88,-0.88,0.002342149586180353,1
div_6,0.88,0.44,0.0002997860459489737,1
children_in_poverty_ci_high_hispanic,0.86,0.86,0.0033399408192453053,1
alcohol_impaired_driving_deaths_ci_low,0.86,0.86,0.002659612628009146,1
median_household_income_ci_low_hispanic,0.8533333333333334,-0.8533333333333334,0.0027603390150353893,1
